code,name,description
077,Trailer Frame and Support,Bodies and Vessels
078,Trim and Miscellaneous Hardware,Bodies and Vessels
079,Safety Devices,Bodies and Vessels
171,Mixers,Bodies and Vessels
172,Compaction Bodies,Bodies and Vessels
173,Tilt Bodies,Bodies and Vessels
174,Bus Body,Bodies and Vessels
175,Emergency Vehicle,Bodies and Vessels
177,Recreational Vehicle,Bodies and Vessels
081,"Heating Unit (for power units, trailers, etc.)",Heating and Refrigeration
082,"Refrigeration, Mechanical (for power units, trailers, etc.)",Heating and Refrigeration
083,"Refrigeration, Nitrogen (for power units, trailers, etc.)",Heating and Refrigeration
084,"Refrigeration, Holdover Plate (for power units, trailers, etc.)",Heating and Refrigeration
091,"Blowers, Conveyors, and Vibrators (for power units, trailers, etc.)",Bulk Product Transfer Systems
092,"Compressor, Bulk Product Systems (for power units, trailers, etc.)",Bulk Product Transfer Systems
094,"Engine, Auxiliary (for power units, trailers, etc.)",Bulk Product Transfer Systems
095,"Manifold (for power units, trailers, etc.)",Bulk Product Transfer Systems
096,"Power Shaft (for power units, trailers, etc.)",Bulk Product Transfer Systems
097,"Pump (for power units, trailers, etc.)",Bulk Product Transfer Systems
098,"Valves and Controls (for power units, trailers, etc.)",Bulk Product Transfer Systems
099,"Safety Devices, Instruments and Gauges (for power units, trailers, etc.)",Bulk Product Transfer Systems
191,Bulk Storage System,Bulk Product Transfer Systems
192,Batch Mobile Processing Plant,Bulk Product Transfer Systems
193,Belt Conveyor System,Bulk Product Transfer Systems
194,Bucket Conveyor System,Bulk Product Transfer Systems
195,Screw Conveyor System,Bulk Product Transfer Systems
196,Roller Conveyor System,Bulk Product Transfer Systems
197,Chain Conveyor System,Bulk Product Transfer Systems
198,"Paddle Wagon, Drag Chain Assembly",Bulk Product Transfer Systems
199,Processing Screens,Bulk Product Transfer Systems
291,Dairy Pumping Unit,Bulk Product Transfer Systems
292,Concrete Pumping Equipment,Bulk Product Transfer Systems
017,Tires,
018,Wheels,
034,Electrical System,
