code,name,parent_assembly_code,description
002-048-029,Cover Assembly - Recess,002-048,
002-048-030,Foam - Firewall,002-048,
002-048-031,Door - Electrical Access,002-048,
002-048-032,"Trim - Rear Window, Cab",002-048,
002-048-033,Trim - Walk Thru,002-048,
002-048-034,Trim - Corner,002-048,
002-048-035,Trim - Threshold Carpet,002-048,
002-048-036,Cover - Sill,002-048,
002-048-037,Armrest - Cab Door,002-048,
002-048-038,Weather Strip - Door Sill,002-048,
002-048-039,Storage Pouch Assembly,002-048,
002-048-040,"Grab Handle - Door, Inner",002-048,
002-048-041,Panel - Radio Speaker,002-048,
002-048-042,Cover - Speaker,002-048,
002-048-044,Cover - Carpet,002-048,
002-048-045,Console Assembly - Overhead,002-048,
002-048-046,Cover - CB Radio,002-048,
002-048-047,Cover - Radio,002-048,
002-048-048,Pad - Side,002-048,
002-048-049,Pad - Closet,002-048,
002-048-050,Bracket - Speaker,002-048,
002-048-051,"Bracket - Speaker, Sleeper",002-048,
002-048-052,Pad - Back,002-048,
002-048-053,Tray Assembly - Sleeper,002-048,
002-048-054,Nameplate - Cab,002-048,
002-048-055,Retainer - Nameplate,002-048,
002-048-056,Trim - Door Sill,002-048,
002-048-057,Mat - Baggage Compartment,002-048,
002-048-058,Insulation - Cab,002-048,
002-048-059,Floor Mat,002-048,
002-048-060,Cover - Engine Tunnel,002-048,
002-048-062,Panel - Side,002-048,
002-048-063,Restraint - Sleeper Curtain,002-048,
002-048-064,Angle - Curtain Restraint,002-048,
002-048-065,Tongue - Curtain Restraint,002-048,
002-048-066,Exhaust - Recess Pad,002-048,
002-048-067,Pouch - Map,002-048,
002-048-068,Trim - Air Vent,002-048,
002-048-069,Trim - Door Post,002-048,
002-048-070,"Support - Sun Visor, Interior",002-048,
002-048-071,"Restraint - Sun Visor, Interior",002-048,
002-048-072,Upholstery Kit,002-048,
002-048-073,"Pad - Side, Lower",002-048,
002-048-074,"Pad, Safety - Front Or Entrance Door",002-048,
002-048-075,"Pad - Side, Upper",002-048,
002-048-076,"Pad - Back, Upper",002-048,
082-044-009,"Starter - Engine, Reefer",082-044,
002-050-427,"Guard - Latch Pin, Sleeper Door",002-050,
002-050-429,Lock Knob,002-050,
002-050-431,Case - Lock Cylinder,002-050,
002-050-432,Shaft - Cylinder,002-050,
002-050-433,Retainer - Lock Cylinder,002-050,
002-050-434,"Retaining Clip - Lock Cylinder, Sleeper",002-050,
002-050-435,"Sealing Tape - Door, Sleeper",002-050,
002-050-436,"Skin - Door, Outer",002-050,
002-050-437,"Liner - Door, Inner",002-050,
002-050-438,Adapter - Vent Box,002-050,
002-050-439,Angle - Hinge,002-050,
002-050-441,Shim - Hinge,002-050,
002-050-443,Shim - Latch,002-050,
002-050-444,Release Assembly - Outer,002-050,
002-050-445,Extension - Latch,002-050,
002-050-446,Rod - Latch,002-050,
002-050-447,Lock Rod,002-050,
002-050-448,Lock Board,002-050,
002-050-450,"Gasket - Vent, Sleeper Exit Door",002-050,
002-050-451,Insulation - Lock,002-050,
002-050-452,"Insulation - Door, Sleeper",002-050,
002-050-453,Gasket - Door Handle,002-050,
002-050-455,Rod - Door Stop,002-050,
002-050-456,Wear Plate - Door Wedge,002-050,
002-050-457,Air Lock Kit - Dash,002-050,
002-050-458,Toggle Valve Assembly,002-050,
002-050-459,"Tubing - Nylon, Dual",002-050,
002-050-460,Nameplate - Sleeper,002-050,
002-050-461,Fitting Assembly - Union,002-050,
002-050-462,Lock Kit - Door Air Space,002-050,
002-050-463,Lock Cylinder Assembly - Sleeper,002-050,
002-050-464,"Rod - Idler, Door Lock, Sleeper",002-050,
002-050-466,"Hardware, Mounting - Cylinder Assembly",002-050,
002-050-468,Board - Rear Bunk,002-050,
002-050-469,Warning Label,002-050,
002-050-470,Catch Plug,002-050,
002-050-471,Emblem/Logo,002-050,
002-050-472,"Hardware, Mounting - Emblem/Logo",002-050,
002-050-473,Corner Pad - Right,002-050,
002-050-474,Fastener - Xmas Tree,002-050,
002-050-475,Fastener - Panel,002-050,
002-050-476,"Pad - Roof, Sleeper, Front",002-050,
002-050-477,"Pad - Bunk, Front",002-050,
002-050-478,"Pad - Closet Wall, Sleeper",002-050,
002-050-479,Cover - Closet Wall,002-050,
002-050-480,"Pad - Closet, Sleeper",002-050,
002-050-481,"Carpet - Sleeper, Front",002-050,
002-050-482,"Carpet - Sleeper, Rear",002-050,
002-050-483,"Pad - Under Bunk, Front",002-050,
002-050-484,Pad - Bunk Side,002-050,
002-050-485,Catch - Bunk Center,002-050,
002-050-486,Floor Pan - Front,002-050,
002-050-487,Base Rail - Front,002-050,
002-050-488,Base Rail - Side,002-050,
002-050-489,"Carpet - Rear Cabinet, Upper Left",002-050,
002-050-490,"Carpet - Rear Cabinet, Middle",002-050,
002-050-491,"Carpet - Rear Cabinet, Lower Left",002-050,
002-050-492,"Carpet - Rear Cabinet, Upper Right",002-050,
002-050-493,"Carpet - Rear Cabinet, Outer Left",002-050,
002-050-494,"Carpet - Rear Cabinet, Outer Right",002-050,
002-050-495,"Carpet - Cabinet, Upper Right",002-050,
002-050-496,"Carpet - Cabinet, Middle Right",002-050,
002-050-497,Carpet - Lower Right Cabinet,002-050,
002-050-498,"Carpet - Cabinet, Upper Left",002-050,
002-050-499,"Carpet - Cabinet, Middle Left",002-050,
002-050-500,"Carpet - Cabinet, Lower Left",002-050,
002-050-501,"Carpet - Shelf, Front",002-050,
002-050-502,Frame - Baggage Door,002-050,
002-050-503,Wiring - Sleeper Accessory Switches,002-050,
002-050-504,"Fasteners, Panel - Sleeper",002-050,
002-050-505,Door Release - Sleeper,002-050,
004-003-006,"Hardware, Mounting - Mounting Bracket, Roof Fairing, Center",004-003,
004-003-007,"Mounting Bracket - Roof Fairing, Right Rear",004-003,
004-003-008,"Mounting Bracket - Roof Fairing, Left Rear",004-003,
004-003-009,"Hardware, Mounting - Mounting Bracket, Roof Fairing, Rear",004-003,
004-003-010,"Mounting Plate - Bracket, Roof Fairing, Front",004-003,
004-003-011,"Mounting Plate - Bracket, Roof Fairing, Center",004-003,
004-003-012,"Mounting Plate - Bracket, Roof Fairing, Rear",004-003,
004-003-013,"Seal - Mounting Bracket, Roof Fairing, Front",004-003,
004-003-014,"Seal - Mounting Bracket, Roof Fairing, Center",004-003,
004-003-015,"Seal - Mounting Bracket, Roof Fairing, Rear",004-003,
004-003-016,Extender - Roof Fairing,004-003,
004-003-017,"Mounting Bracket - Extender, Roof Fairing, Upper Left",004-003,
004-003-018,"Mounting Bracket - Extender, Roof Fairing, Upper Right",004-003,
004-003-019,"Mounting Bracket - Extender, Roof Fairing, Intermediate, Left",004-003,
004-003-020,"Mounting Bracket - Extender, Roof Fairing, Intermediate, Right",004-003,
004-003-021,"Mounting Bracket - Extender, Roof Fairing, Lower Left",004-003,
004-003-022,"Mounting Bracket - Extender, Roof Fairing, Lower Right",004-003,
004-003-023,"Fairing Assembly - Complete, Roof Mounted",004-003,
004-003-024,"Fairing Assembly - Complete, Roof Mounted, Left",004-003,
004-003-025,"Fairing Assembly - Complete, Roof Mounted, Right",004-003,
004-003-026,"Trim Tabs Kit - Extender, Roof Fairing",004-003,
004-003-028,"Trim Tab - Extender, Roof Fairing, Left",004-003,
004-003-029,"Hardware, Mounting - Left Trim Tab, Extender, Roof Fairing",004-003,
004-003-030,"Bracket - Trim Tab, Extender, Roof Fairing",004-003,
004-003-031,"Trim Tab - Extender, Roof Fairing, Right",004-003,
004-003-032,"Clamp - Mounting, Roof Fairing",004-003,
004-003-033,"Guard - Mounting, Roof Fairing",004-003,
004-003-034,"Fairing - Roof Mounted, Lower Section",004-003,
004-003-035,"Brace - Trim Tab, Extender, Roof Fairing",004-003,
004-003-036,"Panel - Roof Fairing, Lower",004-003,
004-003-037,"Panel - Roof Fairing, Upper",004-003,
004-003-038,"Rail - Side, Roof Fairing",004-003,
004-003-039,"Vane - Turning, Door, Roof Fairing",004-003,
004-003-040,"Brace - Roof Fairing, Inner",004-003,
004-003-041,"Brace - Roof Fairing, Outer",004-003,
004-003-042,"Insulator - Bracket, Roof Fairing",004-003,
004-003-043,"Extrusion - Extender, Trim Tab, Roof Fairing",004-003,
004-003-044,"Extender - Trim Tab, Flexible, Roof Fairing",004-003,
004-003-045,"Crossbar - Roof Fairing, Front",004-003,
004-003-046,"Crossbar - Roof Fairing, Rear",004-003,
004-003-047,"Bracket - Roof Fairing, Mid-Side",004-003,
004-003-048,Bracket - Roof Fairing,004-003,
004-003-049,"Panel - Roof Fairing, Side",004-003,
004-004-000,Fairing - Cab Extenders,004-004,
004-004-001,"Fairing - Cab Extender, Left",004-004,
004-004-002,"Fairing - Cab Extender, Right",004-004,
004-004-003,"Mounting Bracket - Fairing, Cab Extender, Upper Left",004-004,
004-004-004,"Mounting Bracket - Fairing, Cab Extender, Upper Right",004-004,
004-004-005,"Mounting Bracket - Fairing, Cab Extender, Left Intermediate",004-004,
004-004-006,"Mounting Bracket - Fairing, Cab Extender, Right Intermediate",004-004,
004-004-007,"Mounting Bracket - Fairing, Cab Extender, Lower Left",004-004,
004-004-008,"Mounting Bracket - Fairing, Cab Extender, Lower Right",004-004,
004-004-009,"Hardware, Mounting - Fairing, Cab Extender",004-004,
004-004-010,"Brace - Fairing, Cab Extender, Lower Left",004-004,
013-001-046,"Washer - Spanner Nut, Front Brake",013-001,
013-001-047,"Housing Assembly - Front Black Plunger, 12",013-001,
013-001-048,"Guide - Plunger, Front Brakes",013-001,
013-001-049,"Seal - Washer, Front Brake",013-001,
016-005-055,Bolt - Torque Rod,016-005,
016-005-056,"Radius Rod End - Adjustable, Right",016-005,
016-005-057,"Radius Rod End - Adjustable, Left",016-005,
016-005-058,Center (Spindle) - Adjustable Radius Rod,016-005,
016-005-059,Nut - Spring Hanger,016-005,
016-005-060,Screw - Spring Hanger,016-005,
016-005-061,"Nut - U-Bolt, Rear Spring",016-005,
016-005-062,Thrust Cup (Shim) - Torque Rod,016-005,
016-005-063,"Plug - Thrust Cup, Torque Rod",016-005,
016-005-064,"Stud - Spring Seat, Tandem",016-005,
016-005-065,Repair Kit - Bushings,016-005,
016-005-066,Bushing Assembly - Equalizer,016-005,
016-005-067,Nut - Equalizer Bushing Bolt,016-005,
016-005-068,Bushing Assembly - Torque Rod,016-005,
016-005-069,Spring Roller Assembly,016-005,
016-005-070,Nut - Spring Retainer,016-005,
016-005-071,"Plate - U-Bolt, Spring, Upper",016-005,
016-005-072,"Plate - U-Bolt, Lower Spring",016-005,
016-005-073,"Pin Assembly - Torque Rod, Frame End",016-005,
016-005-074,"Pin Assembly - Torque Rod, Axle End",016-005,
016-005-075,"Bolt - Shackle, Rear Spring",016-005,
016-005-076,Thrust Washer - U-Bolt Nut,016-005,
016-005-077,"Replacement Kit - Bushing Assembly, Radius Rod",016-005,
016-005-078,Liner - Rear Spring,016-005,
016-005-079,Anchor Kit - Adjustable Spring,016-005,
016-005-080,"Collar - Adjustment, Spring Anchor",016-005,
016-005-081,"Bushing - Bolt, Spring Anchor",016-005,
016-005-082,Bolt - Spring Anchor,016-005,
016-005-083,Lock Nut - Spring Anchor Bolt,016-005,
016-005-084,"Bushing - Rear Spring Eye, Rear Spring",016-005,
016-005-085,"Bolt - Bracket, Equalizing Beam",016-005,
016-005-086,"Tab Lock - Bolt, Equalizer Bushing",016-005,
016-005-087,Installation Kit - Equalizer,016-005,
016-005-088,Washer - Torque Rod End,016-005,
016-005-089,"Bolt - Lock, Equalizer",016-005,
016-005-090,Washer - Equalizer,016-005,
016-005-091,"Wear Plate - Spring Pin, Rear",016-005,
016-005-092,Wear Pad - Equalizer,016-005,
016-005-093,Bracket - Equalizer Wear Pad,016-005,
016-005-094,Lock - Equalizer Wear Bracket,016-005,
016-005-095,Washer - Equalizer Bushing,016-005,
016-005-096,Sleeve - Equalizer Bolt,016-005,
016-005-097,Tube - Equalizer,016-005,
016-005-098,Lock - Radius Rod Bolt,016-005,
016-005-099,Washer - Adjustable Spring,016-005,
016-005-100,Caps - Equalizer Bushing,016-005,
016-005-101,Block - Adjustable Spring,016-005,
016-005-102,End Plug - Equalizer Bushing,016-005,
016-005-103,"Plate - Wear, Equalizer",016-005,
016-005-104,"Plate - Wear, Spring Hanger",016-005,
016-005-105,Seal - Equalizer Pin,016-005,
016-005-106,Bracket Assembly - Equalizer Tube,016-005,
016-005-107,Bracket - Spring Rebound,016-005,
016-005-108,Washer - Equalizer Tube,016-005,
016-005-109,"Nut - Clamp, Equalizer Tube",016-005,
016-005-110,"Hardware, Mounting - Equalizer Tube",016-005,
016-005-111,Washer - Frame Bracket,016-005,
016-005-112,"Hardware, Mounting - Frame Bracket",016-005,
016-005-113,Spacer - Frame Bracket,016-005,
016-005-114,"Saddle - U-Bolt, Upper Of Spacer",016-005,
016-005-115,Retainer - Rear Suspension (Non-Air),016-005,
016-005-116,"Seat - Axle, Non-Air Rear Suspension",016-005,
016-005-117,Clamp - Axle,016-005,
016-005-119,Spacer - Equal Beam Bracket,016-005,
016-005-120,"Hardware, Mounting - Rear Spring, Rear Hanger",016-005,
016-005-121,Spacer - Rear Spring,016-005,
016-005-122,"Hardware, Mounting - Rear Spring Leaf",016-005,
016-005-123,Eye - Spring,016-005,
016-005-124,Shim - Adjust Spring Eye,016-005,
016-005-125,Strap - Spring Eye,016-005,
016-018-010,"Control Valve, Height - Slider Air Ride",016-018,
016-018-011,"Bushing, Pivot - Slider Air Ride Suspension",016-018,
016-020-001,Strut Assembly,016-020,
016-020-002,Seat - Coil Spring,016-020,
016-020-003,"Mounting Plate - Strut, Upper",016-020,
016-020-004,"Bearing - Strut, Upper",016-020,
053-999-030,Fluid - Starting,053-999,
053-999-031,Analysis Kit - Oil,053-999,
053-999-032,"Oil - Synthetic, Engine",053-999,
053-999-033,"Oil - Synthetic, Gear",053-999,
053-999-035,Analysis Kit - Water,053-999,
053-999-036,Silicone,053-999,
053-999-037,Alcohol,053-999,
053-999-038,Flush - Cooling System (Cleaner),053-999,
053-999-039,Oil - Refrigerant Charge,053-999,
053-999-042,Leak Detector - Refrigerant,053-999,
053-999-043,Anti-Seize,053-999,
053-999-044,Sealer - Epoxy,053-999,
053-999-045,Cleaner - Battery,053-999,
053-999-046,Cleaner - Glass,053-999,
053-999-047,Cleaner - Brake Parts,053-999,
053-999-048,Silicone Spray,053-999,
053-999-049,Lubricant - Chain & Cable,053-999,
053-999-050,Lubricant - Door,053-999,
053-999-051,Belt Dressing,053-999,
053-999-052,Anti-Squeal Lubricant - Brake Shoe,053-999,
053-999-053,Cleaner - Carburetor,053-999,
053-999-054,Cleaner - Electrical,053-999,
053-999-055,Lubricant - Water Pump,053-999,
053-999-056,Degreaser - Engine,053-999,
053-999-057,Oil - Penetrating,053-999,
053-999-058,Lubricant - Multi-Purpose,053-999,
053-999-059,"O-Rings - Rubber, General",053-999,
053-999-060,Cleaner - Fuel Injector,053-999,
053-999-061,Aerosol - Pest Control,053-999,
053-999-062,Cleaner - Wheel,053-999,
053-999-063,Cleaner/Protectant - Upholstery,053-999,
053-999-064,Protectant - Battery,053-999,
053-999-065,Oil - Air Tool,053-999,
053-999-066,Cement - Contact,053-999,
053-999-067,Tape - Adhesive,053-999,
053-999-068,Compound - Thread Locking,053-999,
053-999-069,Anti-Squeak,053-999,
053-999-070,Rust Preventive,053-999,
053-999-071,Oil - Corrosion Inhibiting,053-999,
053-999-072,Undercoating,053-999,
053-999-073,Sealer - Air Dry,053-999,
053-999-074,"Sealant - Pipe, Teflon Tape",053-999,
053-999-075,Sealant - Thread,053-999,
053-999-076,Adhesive - Sealant,053-999,
053-999-077,Tape - Butyl,053-999,
053-999-078,Adhesive - Weather Strip,053-999,
053-999-079,Adhesive - Resin,053-999,
053-999-081,Adhesive - Plastic,053-999,
053-999-082,Oil - Air Cleaner,053-999,
053-999-083,Adhesive - Curative,053-999,
053-999-084,Adhesive - Rubber,053-999,
053-999-085,Sealant - Pipe,053-999,
053-999-086,Compound - Anti Galling,053-999,
053-999-087,Oil Absorbent,053-999,
053-999-088,Anti-Rust,053-999,
053-999-089,Adhesive - Spray,053-999,
053-999-090,Adhesive - Primer,053-999,
053-999-091,Tape - Aluminum,053-999,
053-999-092,Caulking - Sealant,053-999,
053-999-094,Tire Patch,053-999,
053-999-095,Cement - Tire Patch,053-999,
053-999-096,Grease - Dielectric,053-999,
053-999-097,Sealant - Gasket,053-999,
053-999-098,Cleaner - Multi-Purpose,053-999,
053-999-099,Remover - Bug and Tar,053-999,
053-999-100,Super Glue,053-999,
053-999-101,Sealant - Exhaust System,053-999,
053-999-102,Adhesive - Mirror,053-999,
053-999-103,Tape - Electrical,053-999,
053-999-104,Oil - Vacuum Pump,053-999,
055-023-009,"Deployment System, Carriage - Manual",055-023,
055-023-010,Handle - Handrail Lock,055-023,
055-023-011,Lifting Frame - Curb Side Platform,055-023,
055-023-012,Roll Stop - Manual Control,055-023,
055-023-013,Roll Stop - Curb Side Platform,055-023,
055-023-014,Curb Side Platform,055-023,
055-023-015,Safety Belt - Curb Side Platform,055-023,
055-023-016,Handrails,055-023,
055-023-017,Bridgeplate,055-023,
055-023-018,Lift Frame - Vehicle Chassis Side,055-023,
055-023-019,Controller - Lift Monitor,055-023,
055-023-020,Interlock - Wheelchair Lift,055-023,
055-023-021,"Chain - Lift, Wheelchair Lift",055-023,
055-023-022,Platform - Wheelchair Lift,055-023,
055-023-023,Guide - Wheelchair Lift Roller,055-023,
