code,name,parent_system_code,description
004-014,Chassis Air Flow Management Fairing Aerokit,004,
004-015,Aerodynamic Splash Guard,004,
011-001,"Axle - Non-Driven, Front",011,
012-001,"Axle - Non-Driven, Rear",012,
012-002,"Axle - Non-Driven, Tag/Pusher",012,
013-002,Rear Brakes & Drums,013,
013-003,Parking Brakes,013,
013-004,Spring Parking Brake (Separate Or Combination W/Service Brake),013,
013-005,Pedal Assembly - Service Brake,013,
013-006,Brake Master Cylinder,013,
013-007,Brake Lines & Fittings - Hydraulic & Air,013,
013-008,Vacuum Type Power Brakes,013,
013-009,Air Compressor,013,
013-010,Air Type Power Brakes,013,
013-011,Antilock Sensor Assembly,013,
013-012,Electric Brakes,013,
013-013,Air Disc Brakes,013,
013-014,Tag/Pusher Axle Brakes,013,
013-015,Air Brake Monitoring System,013,
013-016,Hydraulic Motor Brake System,013,
013-018,Brake Parts - Position Not Specified,013,
014-001,Bumpers & Attaching Parts,014,
014-002,Engine/Electric Motor Mountings,014,
014-003,Cab & Body Mountings,014,
014-004,Battery Support,014,
014-006,Fuel Tank Support,014,
014-008,Attaching Devices - Hoses Lines Tubes & Wire,014,
014-009,Sleeper Mounting,014,
014-010,Toolbox Mounting,014,
014-011,Quarter and Full Fenders,014,
014-012,Jackstand Assembly,014,
014-013,Noise Shield,014,
014-014,Mud Flaps - Rear Wheel,014,
014-015,Lifting Devices,014,
015-000,Steering Wheel,015,
015-001,Steering Shaft Support,015,
015-002,Steering Gear,015,
015-003,Steering Linkage,015,
015-004,Power Steering Pump,015,
015-005,Control Valve (Torque Converter) - Integral Gear Type,015,
015-006,Control Valve - Tie Rod Type,015,
015-007,Power Steering Pump Motor - Electric,015,
015-009,Dual Steering,015,
015-010,Steering - All Steer,015,
015-011,Steering Assembly - Transferable (Vario Pilot),015,
015-012,Steering Stability System,015,
015-013,Steering Gear - Rack & Pinion Type,015,
015-014,Hydraulic Steering System,015,
015-015,Electric Lane Assist Steering,015,
016-001,Independent Front Suspension,016,
016-002,Front Springs,016,
016-003,Front Shock Absorbers,016,
016-004,Front Stabilizer,016,
016-005,Suspension - Rear (Non-Air),016,
016-006,Shock Absorber - Rear,016,
016-007,Stabilizer - Rear,016,
016-008,Air Ride Suspension,016,
016-009,Air Leaf Suspension,016,
016-014,Liftable Air Suspension,016,
016-015,Cab/Sleeper Suspension,016,
016-018,Slider - Air Ride Suspension,016,
016-019,Locking Device - Ride Height,016,
016-020,Strut,016,
016-021,Control Arm,016,
016-022,Active Suspension,016,
016-023,Independent Rear Suspension,016,
017-001,Tire - Pneumatic,017,
017-002,Tire - Semi-Pneumatic,017,
017-003,Tire - Cushion,017,
017-004,Inner Tube - Pneumatic Tire,017,
017-005,Tire - Solid,017,
017-006,Liner (Flap) - Pneumatic Tire,017,
017-008,Valve Assembly,017,
017-009,Tire Pressure Inflation and Monitoring Systems,017,
017-010,Tire - Foam Filled,017,
017-011,Balance Compounds,017,
017-012,Balance Ring,017,
018-001,Front Axle Hubs & Bearings,018,
018-002,Drive Axle Hubs Bearings & Seals,018,
018-003,Wheels,018,
018-004,Trailer Converter Tag & Pusher Axle Hubs & Bearings,018,
018-005,Bearings - General,018,
018-006,Wheel End Disconnect,018,
019-001,Reservoir & Lines,019,
019-002,Grease Pump - Automatic Lubricator,019,
019-003,Controller,019,
019-004,Wiring - Solenoid,019,
019-007,Hose Tubing & Connectors,019,
026-002,"Reverse, Regular Countershaft Gears",026,
026-003,Maindrive & Main Shaft Bearings,026,
026-004,Maindrive Gear,026,
026-006,Synchronizer & Gears - Main Shaft,026,
026-007,Countershaft - High Range,026,
026-008,Countershaft - Low Range,026,
026-009,Cover Assembly - Manual,026,
026-010,Rails Forks & Internal Shift Mechanism,026,
026-011,Transmission External Control,026,
026-012,Transmission Assembly - Manual,026,
026-013,Pump - Oil,026,
026-014,Electronic Controls Transmission Manual,026,
026-015,Automated Transmission,026,
026-016,Countershaft Brake,026,
026-017,Range Section - Manual Transmission,026,
026-001,Transmission Case,026,
111-001,Track,111,
111-002,Idler,111,
111-004,Tensioner,111,
111-005,Sprocket,111,
111-006,Shields and Guards - Undercarriage,111,
111-007,Equalizer - Undercarriage,111,
111-008,Pivot Shaft Mechanism,111,
111-009,Adjuster,111,
111-010,Chain,111,
112-001,Feet / Pads,112,
112-002,Hydraulics - Stabilization,112,
112-003,Controls - Stabilization Unit,112,
112-004,Supports,112,
112-005,Locks,112,
112-006,Outrigger Assembly,112,
112-007,Slope Indicator Gauge,112,
021-001,"Axle Assembly, Driven - Front",021,
021-002,"Axle Assemblies - Driven, Front Steering",021,
021-800,Portal Assembly - Front Driven Axle,021,
021-009,Transaxle Assembly - Driven Front Steer Axle,021,
022-001,"Axle Housing, Rear",022,
022-002,Shaft - Rear Axle,022,
022-003,Differential Carrier,022,
022-004,Power Divider & Inter-Axle Differential,022,
022-005,Axle Controls - Air Or Vacuum,022,
022-006,Axle Controls - Electric Shift,022,
022-007,"Axle Assembly - Driven, Rear",022,
022-800,Portal Assembly - Rear Driven Axle,022,
023-001,"Control Assembly - Mechanical, Clutch",023,
023-002,Clutch,023,
023-003,Clutch Output Shaft - Divorced Transmission,023,
023-004,"Control Assembly - Electronic Automated Shift, Clutch",023,
024-003,Retarder - Drive/Propeller Shaft,024,
024-004,Chain Drive,024,
025-001,Transfer Case Assembly,025,
025-003,Accumulator - Transfer Case,025,
025-004,Annulus - Planetary Gear Carrier,025,
027-001,Case - Automatic Transmission,027,
027-002,Converter,027,
027-003,Hydraulic Retarder Rotor,027,
027-004,Direct Drive Clutch Assembly,027,
027-005,High Range Clutch,027,
027-006,Forward Clutch Assembly,027,
027-007,Direct Clutch & Intermediate Sprag,027,
027-008,Intermediate Clutch & Center Support,027,
027-009,Low Range Clutch,027,
027-010,Reverse Clutch Assembly,027,
027-011,Splitter,027,
027-012,Housing Converter (Bell Housing),027,
027-013,Planet Carrier &/Or Output Shaft Assembly,027,
027-014,Reaction Carrier & Low Sprag Assembly - Front,027,
027-015,"Carrier Assembly - Rear Or Low, Output",027,
027-016,First Range Assembly,027,
027-017,Sun Gear & Shaft Assembly,027,
027-018,Reverse Range Assembly,027,
027-019,Main Shaft Assembly & Rear Internal Gear,027,
027-020,Bands,027,
027-021,Rear Servo Assembly,027,
027-022,Low Servo Assembly,027,
027-023,Front Servo Assembly (2nd Gear Overrun),027,
027-024,Valve Body Assembly - Main Control,027,
027-025,"Solenoid Assembly - Detent, Automatic Transmission",027,
027-026,Modulator Assembly,027,
027-027,Valve Body Assembly - Stator Control,027,
027-028,Solenoid Assembly - Variable Pitch Stator Control,027,
027-029,Oil Pump Assembly,027,
027-030,Rear Pump,027,
027-031,Rear Bearing Retainer Or Case Extension Assembly,027,
027-032,Parking Lock Or Brake & Actuator Assembly,027,
027-033,Range Selector Or Manual Linkage,027,
027-034,Governor Assembly - Automatic Transmission,027,
027-035,Output Drive Transfer Gearing,027,
027-036,Oil Pan & Screen Assembly,027,
027-037,Transmission Assembly - Automatic,027,
027-038,"Electronic Controls, Transmission, Automatic",027,
027-039,Cooler - Manifold,027,
027-040,Continuously Variable Transmission (CVT),027,
027-041,Dual Clutch Assembly,027,
027-042,Auxiliary Transmission,027,
028-001,Case - Auxiliary Transmission,028,
028-002,Cover - Auxiliary Transmission,028,
028-003,Main Drive,028,
028-004,Main Shaft,028,
028-005,Countershaft,028,
028-006,Transmission - Auxiliary,028,
028-007,Output Housing,028,
029-001,"Auxiliary Section - Main Transmission Assembly, Manual",029,
029-002,Cover - Rear Bearing,029,
029-003,Countershaft - Auxiliary Section,029,
029-004,Synchronizer Auxiliary Section,029,
029-005,Main Shaft Auxiliary Section,029,
029-006,Drive Gear - Auxiliary Section,029,
029-007,Intermediate Section Housing,029,
101-008,Air Cylinders,101,
121-001,Tracks - Final Drive,121,
031-001,Generator/Alternator,031,
031-002,Regulator,031,
031-003,Solar Panel,031,
031-005,"Battery Charger - Electrically Propelled Vehicles, On Board",031,
031-006,Charging Control Unit - Electric Vehicle,031,
031-007,Charging Interface - Electric Vehicle,031,
032-001,Battery & Cables,032,
032-002,Starter,032,
032-003,Pre-Heater,032,
032-004,Starter - Air,032,
032-005,Battery Charger - On Board,032,
032-007,Starter Hydraulic,032,
033-001,Distributor - Engine Assembly,033,
033-002,Coil & Spark Plugs,033,
034-001,Head Lamps,034,
034-002,"Lamps - Tail, Stop, Turn & License, Rear",034,
034-003,"Signal, Parking, & Backup Lamps",034,
034-004,"Bulbs, Fuses & Wiring - Clearance / Marker / Interior Lamps",034,
034-005,Electrical Grounds,034,
034-006,Warning & Emergency Lighting/ Devices - Special Applications,034,
034-007,Signaling Devices,034,
034-008,Electrical Vault,034,
036-001,"Collision Avoidance System - Forward, Complete Assembly",036,
036-002,Lane Departure Warning System,036,
036-003,Visual Assist System - Complete Assembly,036,
036-004,Transponder,036,
036-005,"Power Line Carrier (PLC), Data Communication",036,
036-006,Asset Tracking,036,
036-007,On Board Computer,036,
036-800,Surveillance System,036,
036-009,Performance Monitor - Vehicle,036,
036-010,"Electronic Logging Device (ELD), Electronic On Board Recorder (EOBR)",036,
036-011,Trailer Sensor System,036,
036-012,Backup Warning System,036,
036-013,Adaptive Cruise Control,036,
036-014,Driver Risk Management System,036,
036-015,Exterior Recording System,036,
037-001,"Modules - Electrical, Multiple Use",037,
038-001,High Voltage Junction Box - Electric Vehicle,038,
038-002,Power Distribution Unit (PDU) - Electric Vehicle,038,
038-003,Voltage Converter - Electric Vehicle,038,
039-001,High Voltage Battery & Cables - Electric Vehicle,039,
039-002,Powertrain Assembly - Electric Vehicle,039,
039-003,Electric Drive Motor - Electric Vehicle,039,
039-004,Inverter - Electric Vehicle,039,
039-005,Electric Drive Motor Controls - Electric Vehicle,039,
041-001,Air Cleaner,041,
041-002,Intake Manifold,041,
041-003,Intercooler,041,
041-004,Ether Injector Assembly,041,
041-006,Throttle Body,041,
042-001,Shutters,042,
042-002,Radiator,042,
042-003,Fan - Engine Cooling,042,
042-004,Water Pump,042,
029-000,"Auxiliary Section - Main Transmission, Manual",029,
031-000,Charging System,031,
032-000,Cranking System,032,
034-000,Lighting System,034,
036-000,Supplemental Information Devices,036,
036-008,Surveillance System,036,
037-000,Modules/Relays - Electrical,037,
038-000,Electric Power Management - Electric Vehicle,038,
039-000,Electric Drive Components - Electric Vehicle,039,
040-000,Engine / Motor Systems Group,040,
041-000,Air Intake System,041,
042-000,Cooling System,042,
042-005,Water Manifold,042,
042-006,Thermostat - Engine Cooling System,042,
042-007,Coolant Filter,042,
042-008,Coolant Pre-Heater (On Power Plant) - External Electric Power Supply,042,
042-009,Coolant Pre-Heater (In Block) - External Electric Power Supply,042,
042-010,Coolant Pre-Heater - Self-Contained Liquid (On Vehicle),042,
042-011,Water Heater,042,
042-012,Coolant Diverter,042,
042-013,"Coolant Pre-Heater - Liquid Heat Generator, Mechanical",042,
042-014,Battery Thermal Management System - Electric Vehicle,042,
042-015,Electric Drive Cooling System - Electric Vehicle,042,
043-000,Exhaust System,043,
043-001,Emission Controls,043,
043-002,Exhaust Manifold,043,
043-003,Muffler Assembly,043,
043-004,Turbocharger Assembly,043,
043-005,Exhaust Brake,043,
043-006,Exhaust After Treatment Devices,043,
043-007,Selective Catalytic Reduction System (SCR),043,
044-000,Fuel System,044,
044-001,"Tank - Fuel, Liquid",044,
044-002,Filters,044,
044-003,Fuel Pump,044,
044-004,Injectors - Mechanical,044,
044-005,Carburetor,044,
044-006,Governor - Gasoline Engines,044,
044-007,Throttle Controls,044,
044-008,Engine Shutdown,044,
044-009,"Heater - Fuel, Non-Electrical",044,
044-010,Converter - Propane / Natural Gas,044,
044-011,Speed Control System,044,
044-012,Tank - Fuel Gaseous,044,
044-013,Injectors - Electronic,044,
044-015,"Heater - Fuel, Electrical",044,
045-000,Power Plant,045,
045-001,Front Covers,045,
045-002,Cylinder Block & Crankcase,045,
045-003,Crankshaft,045,
045-004,Flywheel,045,
045-005,Crankshaft - Harmonic Balancer,045,
045-006,"Connecting Rod, Piston & Rings Assembly",045,
045-007,Cylinder Head,045,
045-008,Camshaft - Accessory Drive & Valve Mechanism,045,
045-009,Oil Pump & Distribution System,045,
045-010,Oil Filler & Level Indicator,045,
045-011,Filter Assembly - Oil,045,
045-012,Oil Pan,045,
045-013,Ventilating System,045,
045-014,"Retarder - Vehicle, Flywheel Type",045,
045-015,Pre-Heater - Oil (Power Plant),045,
045-016,Auxiliary Reservoir - Oil,045,
045-017,"Retarder - Engine, Valve Cycle Modification Type",045,
045-018,Overhaul Kit - Engine,045,
045-019,Engine Assembly,045,
045-020,Electronic Engine Controls,045,
045-021,Rear Timing Housing,045,
046-000,Motor - Electric Propulsion,046,
046-002,"Controls - Electro-Mechanical, Electric Propulsion Motor",046,
046-003,Battery - Electric Propulsion Motor,046,
046-004,"Controls - Electronic (Solid State), Electric Propulsion Motor",046,
047-000,Kit Filter - Multi System,047,
047-001,"Kit, Filter - Engine",047,
048-000,Power Train - Electric Hybrid,048,
048-001,"Power Train Assemblies - Electric, Hybrid",048,
049-000,"Power Train - Hydraulic, Hybrid",049,
049-001,Power Train Assemblies - Hydraulic,049,
049-002,Pump - Motor Assembly Hybrid,049,
049-003,"Reservoir - Low Pressure, Hybrid",049,
049-004,"Accumulator - High Pressure, Hybrid",049,
049-005,Transfer Case - Hybrid,049,
051-000,General Accessories,051,
051-001,Tachometer,051,
051-002,Hubodometer,051,
051-003,Hourmeter,051,
051-004,Tachograph,051,
051-005,Recorder - Fuel & Mileage,051,
051-006,Fire Detection and Warning,051,
051-008,Navigation System - GPS,051,
051-009,Fare Box,051,
051-010,Speedograph,051,
051-011,Information Center,051,
051-012,Data Logger,051,
141-000,Hydrogen Fuel Cell,141,
141-001,Fuel Cell - Hydrogen,141,
142-000,LNG Engine Fuel System,142,
142-001,LNG Fuel Injectors,142,
142-002,Fuel Conditioning Module,142,
142-004,Control Unit,142,
142-005,Hydraulic Pump,142,
142-006,Diesel Fuel Pump,142,
142-007,LNG Fuel Filter,142,
142-008,HOSES - LNG,142,
143-000,Electronic Controls,143,
143-002,High Pressure Regulator,143,
143-003,Low Pressure Regulator,143,
143-004,Fuel Tank,143,
143-005,Pressure Relief Device,143,
143-006,"Fuel Lines, Fittings",143,
143-007,"Safety Devices, Leak Detection",143,
045-022,Rear Timing Housing,045,
142-009,HOSES - LNG,142,
050-000,Accessories Group,050,
051-013,Air Pump - On Board,051,
051-014,Manifest Box,051,
051-015,Spare Tire Tools,051,
051-016,Bicycle Rack - Rear Mounted,051,
051-017,Hand Washer,051,
051-018,Fare Meter,051,
051-019,Shrink Wrap Mounting,051,
052-000,Electrical Accessories,052,
052-001,Cigar Lighter,052,
052-002,Clock,052,
052-003,Radio Equipment,052,
052-004,Tape Player,052,
052-005,Transmitter - CB,052,
052-006,CD Player,052,
052-007,Television,052,
052-008,Refrigerator,052,
052-009,Speakers,052,
052-010,Fan - Auxiliary,052,
052-011,Auxiliary Power,052,
052-012,Cellular Telephone,052,
052-013,Intercom System,052,
052-014,Microwave Oven,052,
052-015,DVD Player,052,
052-017,"Heater - Interior, Electric",052,
052-018,Hands Free Phone Device,052,
052-020,Video Monitor,052,
052-022,USB Port,052,
052-023,Blu-Ray Player,052,
052-024,Computer Tablet,052,
053-000,Expendable Items,053,
053-001,Tire Chains,053,
053-002,Sander,053,
053-003,Mattress,053,
053-004,Safety Equipment,053,
053-005,Markings - Vehicle,053,
053-006,Tools & Diagnostic Devices,053,
053-007,Hardware - Expendable Items,053,
053-008,Hoses & Tubings & Fittings,053,
053-009,Steel Stock,053,
053-010,Sanding/Grinding Supplies,053,
053-011,Supplies,053,
053-012,Aluminum Stock,053,
053-013,Wood,053,
053-014,Environmental,053,
053-015,Welding Supplies,053,
053-016,Electrical - General Use Components,053,
053-018,Seal - General Use,053,
053-020,Board - Compound,053,
053-021,Rear Window Defogger,053,
053-022,Bearings - On Vehicle Position & Application Not Specified,053,
053-023,Chain - Hardware Grade,053,
053-100,Manual,053,
053-998,Paint & Preservatives - Vehicle,053,
054-000,Horns & Mountings & Reverse Signal Alarms,054,
054-001,Horn & Mounting,054,
054-002,Alarm,054,
055-000,"Cargo Handling, Restraints, & Lift Systems",055,
055-001,Platform - Power Liftgate,055,
055-002,Vertical Slides - Power Tailgate,055,
055-003,Ram - Power Tailgate,055,
055-004,Dump Trailer Hydraulic Lift Mechanism,055,
055-005,Conveyor - Retractable Roller (Hydraulic),055,
055-006,"Unloaders - Electric, Containers & Pallets",055,
055-007,Mast Assembly - Lift Truck,055,
055-008,Carriage Assembly - Lift Truck,055,
055-009,Carriage & Lift Assembly - Lift Truck,055,
055-010,Hydraulic System - Lifts & Attachments,055,
055-011,Carriage Assembly Attachments,055,
055-012,Cargo Restraints,055,
055-013,Counterweight,055,
055-014,Hydraulic Lift System Pump Motor - Electric,055,
055-015,Mast Assembly - Power Tailgate,055,
055-016,Mast Assembly - Power Tailgate,055,
055-017,Sleeper Assembly,055,
055-018,Conveyor - Retractable Roller (Air),055,
055-019,Control Panel - Retractable Roller (Air),055,
055-020,Control System - Conveyor,055,
055-021,Retractable Roller (Air),055,
055-022,Shelving and Supports,055,
055-023,Wheelchair Lift,055,
055-025,Pallet Jack,055,
055-026,Hand Truck,055,
055-027,Drum - Hand Truck,055,
055-028,Jack - Ground Support Equipment (GSE),055,
055-029,Liftgate Battery Charging System,055,
055-030,Cargo,055,
055-031,Chain - Transport Grade,055,
055-032,Cargo Bunk,055,
056-000,Power Take-Off,056,
056-001,Power Take-Off (PTO),056,
056-002,Shift,056,
056-003,Powershift PTO,056,
057-000,Spare Wheel Mounting,057,
057-001,Spare Wheel Mounting Assembly,057,
058-000,Winch System,058,
058-001,Winch,058,
058-002,Drum and Rope - Winch,058,
058-003,Brake - Winch,058,
058-005,Transmission Gear Housing - Winch,058,
058-006,Controls - Winch,058,
058-007,Structure - Winch,058,
058-008,Pneumatics - Winch,058,
058-009,Accessories - Winch,058,
059-000,Vehicle Coupling System,059,
059-001,Fifth Wheel - Lower Coupler Assembly,059,
059-002,Pintle Hook Assembly,059,
059-003,Tow Hooks,059,
059-004,Draw Bar,059,
059-005,Coupler System,059,
059-006,Towing Hitch,059,
059-007,Lunette Assembly,059,
059-008,Tow Ring Assembly,059,
059-009,Towing Shackle Assembly,059,
059-010,Tow Bar Components,059,
059-013,Hydraulic System - Vehicle Coupling System,059,
059-014,Reservoir Assembly - Hydraulic System,059,
059-015,"Pump Assembly - Hydraulic, Vane Type",059,
059-016,"Pump Assembly - Hydraulic, Gear",059,
059-017,"Pump Assembly - Hydraulic, Rotary",059,
059-018,"Pump Assembly - Hydraulic, Gerotor",059,
059-019,"Pump Assembly - Hydraulic, Piston",059,
059-020,Pump Assembly - Hydraulic,059,
059-021,"Pump Assembly - Hydraulic, Reciprocating (Air-Operated)",059,
059-022,Pump Assembly - Hydraulic Manual,059,
059-025,"Control Valve Assembly - Hydraulic, Manual",059,
059-026,Relief Valve Assembly - Hydraulic,059,
059-027,Check Valve Assembly - Hydraulic,059,
059-028,Flow Control Valve Assembly,059,
059-031,"Fittings - Hydraulic System, Vehicle",059,
059-032,Line Assembly - Hydraulic System,059,
059-033,Cylinder Assembly - Hydraulic System,059,
059-036,"Filtration System - Fluid, Hydraulic System",059,
059-037,Cooler Assembly - Hydraulic System,059,
059-038,Articulation Hydraulics - On Board,059,
059-040,Combination Tag Axle/Converter Dolly,059,
059-041,Steering Hitch System,059,
059-042,3-Point Hitch - Farm/Industrial Tractor,059,
059-043,Converter Dolly,059,
059-044,Electronic Sensor Coupling System - Fifth Wheel,059,
151-000,Auxiliary Power Unit (APU),151,
151-001,Auxiliary Power Unit (APU) Assembly,151,
151-002,Heating - APU,151,
151-003,Cooling - APU,151,
151-004,Support - APU,151,
151-005,Controls - Auxiliary Power Unit (APU),151,
151-006,Inverter - APU,151,
152-000,Onboard Lavatory,152,
152-001,Toilet Assembly - Complete,152,
152-002,Sink Assembly - Complete,152,
152-003,Frame/Structure - Lavatory,152,
153-000,Stationary Generator,153,
153-001,Stationary Generator - Complete,153,
153-002,Alternator (AC) Assembly - Stationary Generator,153,
059-800,Tow Ring Assembly,059,
153-003,Auxiliary Receptacle - 120 Volt,153,
153-004,Circuit Breaker,153,
153-005,Control Panel,153,
153-006,Enclosure,153,
153-007,Battery Charger,153,
154-000,Medical Devices,154,
154-001,CPAP Machine - Continuous Positive,154,
161-000,Sweeping,161,
161-001,Broom Assembly,161,
161-002,Wearable Items - Sweeping Unit,161,
161-003,Hydraulic System - Sweeping,161,
161-004,Support - Sweeper,161,
162-005,Control - Sweeping,162,
162-000,Spreader Assembly,162,
162-002,Wearable Items - Spreading Unit,162,
162-003,Hydraulic System - Spreading,162,
162-004,Support - Spreader,162,
162-006,Electrical,162,
163-000,Chipping,163,
163-001,Chipper Assembly,163,
163-002,Hydraulic System - Chipping Unit,163,
163-003,Support - Chipper,163,
163-005,Control - Chipping,163,
164-000,Blowing,164,
164-001,Blower Assembly,164,
164-002,Wearable Items - Blowing Unit,164,
164-003,Hydraulic System - Blowing,164,
164-004,Support - Blower,164,
164-005,Control - Blowing,164,
165-000,Vacuum Assembly,165,
165-002,Wearable Items - Vacuum Unit,165,
165-003,Hydraulic System - Vacuuming,165,
165-004,Support - Vacuum,165,
165-005,Control - Vacuuming,165,
166-000,Trenching,166,
166-001,Trencher Assembly,166,
166-002,Hydraulic System - Trenching,166,
166-003,Support - Trencher,166,
166-005,Control - Trenching,166,
167-000,Tilling,167,
167-001,Tiller Assembly,167,
167-002,Wearable Items - Tilling Unit,167,
167-003,Hydraulic System - Tilling,167,
167-004,Support - Tiller,167,
167-005,Control - Tilling,167,
168-000,Mower Assembly,168,
168-002,Wearable Items - Mowing Unit,168,
168-003,Hydraulic System - Mowing,168,
168-004,Support - Mower,168,
168-005,Control - Mowing,168,
168-006,Boom Structure - Mowing,168,
169-000,Ripping,169,
169-001,Ripper Assembly,169,
169-002,Wearable Items - Ripping Unit,169,
169-003,Hydraulic System - Ripping,169,
169-004,Support - Ripper,169,
169-005,Control - Ripping,169,
063-000,Satellite Communications System,063,
060-000,Equipment Dependent Attachments Group,060,
061-000,Terminal Equipment - Multi Applications,061,
061-001,Chassis Assembly - Sweeper,061,
061-002,Hopper Assembly - Sweeper,061,
061-003,Blower Vacuum System - Sweeper,061,
061-004,Broom System - Main Sweeper,061,
061-005,"Broom System - Side, Sweeper",061,
061-006,Chassis Assembly - Scrubber,061,
061-007,Scrub Brush - Scrubber,061,
061-008,Broom System - Scrubber,061,
061-009,Splash Guard System - Front and Side Scrubber,061,
061-010,Wash Solution System - Scrubber,061,
061-011,Floor Squeegee System - Scrubber,061,
061-012,Wash Solution Recovery System - Scrubber,061,
063-001,Antenna - RF System,063,
063-007,Antenna - Loran System,063,
063-002,Transceiver - Satellite Communications System,063,
063-004,Display/Keyboard,063,
063-005,Load Tracking,063,
065-000,Hydraulic Systems Assembly,065,
065-001,Accumulator - Hydraulic System,065,
065-002,Cooler - Oil (Heat Exchanger),065,
065-003,Cylinder - Hydraulic System,065,
065-004,"Drive Assembly, For Motor Or Pump",065,
065-005,"Filters, Strainers, Screens & Housing",065,
065-006,Hoses & Fittings,065,
065-007,Manifold - Rotary (Swivel),065,
065-009,Manifold - Rotary (Swivel),065,
065-010,Meter - Piston Type,065,
065-012,Pump - Centrifugal (Low Pressure),065,
065-013,Pump - Gear Type,065,
065-014,Pump - Gearotor Type,065,
065-015,Pump - Variable Displacement Type,065,
065-016,Pump - Reciprocating (Diaphragm Type),065,
065-017,Reservoir - Hydraulic System,065,
065-018,Reservoir - Hydraulic System,065,
065-019,Check Valve Assembly Components,065,
065-020,Counter Valve - Hydraulic System,065,
065-021,Counter Balance Valve,065,
065-022,Flow Control Valve - Multi-Function,065,
065-023,Holding Valve,065,
065-024,Pilot Valve - Hydraulic System,065,
065-025,Pressure Bypass Valve,065,
065-026,Regulator Valve,065,
065-027,Relief Valve - Hydraulic System,065,
065-029,Warning Devices - Hydraulic. Sys.,065,
065-030,"Motor - Hydraulic, Propulsion",065,
065-031,Controls - Hydraulic,065,
065-032,"Motor - Hydraulic, Vane",065,
066-000,Scraping,066,
066-001,Blade Assembly,066,
066-002,Wearable Items - Scraping Unit,066,
