vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,vmrs_system,confidence_score,match_reasoning,match_rank
10-417,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for reefer,1.0
1045900,TENNANT,"FILTER, CANNISTER, DUST",061-002-004,"Filter - Hopper Assembly, Sweeper",61.0,MEDIUM,"Dust collection for sweeper, likely hopper filter",1.0
10-473,THERMO KING,"FILTER, KIT, ENGINE, PM",151-001-002,"Filter - Air, APU",151.0,MEDIUM,"Vendor system 151 (APU) but filter kit, closest match is APU filter",1.0
107423,JOHN DEERE LTD.,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Direct match: engine oil filter,1.0
107794,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",013-010-052,Air Filter & Drier Assembly W/Drain & Check,13.0,HIGH,Air brake system air dryer filter cartridge,1.0
107796,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",013-010-052,Air Filter & Drier Assembly W/Drain & Check,13.0,HIGH,Air brake system air dryer filter cartridge,1.0
109493,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",013-010-052,Air Filter & Drier Assembly W/Drain & Check,13.0,HIGH,Air brake system air dryer filter cartridge,1.0
11013-1290,KAWASAKI,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Direct match: engine air filter,1.0
1982-11-01 00:00:00,THERMO KING,"FILTER, OIL, ENGINE",082-041-006,"Filter - Oil, Reefer",82.0,HIGH,Perfect match: oil filter for reefer engine,1.0
119059,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Perfect match: air filter for reefer engine,1.0
1998-11-01 00:00:00,THERMO KING,"FILTER, FUEL, SECONDARY",044-002-003,"Filter Assembly - Fuel, Secondary",44.0,HIGH,Perfect match: secondary fuel filter,1.0
119299,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Perfect match: air filter for reefer engine,1.0
119300,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Air filter for reefer engine,1.0
119321,THERMO KING,"FILTER, OIL, ENGINE",082-041-006,"Filter - Oil, Reefer",82.0,HIGH,Oil filter for reefer engine,1.0
119341,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
119342,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
119955,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Air filter for reefer engine,1.0
119956,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Air filter for reefer engine,1.0
119959,THERMO KING,"FILTER, OIL, ENGINE",082-041-006,"Filter - Oil, Reefer",82.0,HIGH,Oil filter for reefer engine,1.0
119960,THERMO KING,"FILTER, OIL, ENGINE",082-041-006,"Filter - Oil, Reefer",82.0,HIGH,Oil filter for reefer engine,1.0
119961,THERMO KING,"FILTER, OIL, ENGINE",082-041-006,"Filter - Oil, Reefer",82.0,HIGH,Oil filter for reefer engine,1.0
119965,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
119966,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
119967,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
119969,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
119970,THERMO KING,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
1205428,TENNANT,"FILTER, SCREEN 080 MESH INLINE",,,,NO_MATCH,No clear pattern match found,
120967,THERMO KING,"HOUSING, FILTER, AIR",,,,NO_MATCH,No clear pattern match found,
124350,CROWN,"FILTER, OIL, HYDRAULIC, RETURN",055-010-150,Filter Assembly Return Line,55.0,HIGH,Hydraulic return line filter,1.0
12691158,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
12693541,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
12731742,GMC TRUCK DIVISION,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
12737086,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
12-967,THERMO KING,"FILTER, ASSEMBLY, AIR",,,,NO_MATCH,No clear pattern match found,
130820,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Air filter for reefer engine,1.0
13172,ROBINAIR DIVISION,"FILTER, OIL, A/C RECOVERY, KIT",,,,NO_MATCH,A/C recovery filter not in standard VMRS,
14-00209-00,CARRIER CORP,"FILTER, DRIER, LIQUID LINE",082-010-001,Filter - Drier,82.0,HIGH,Liquid line filter drier,1.0
141132,CROWN,"FILTER, HYDRAULIC, RETURN",,,,NO_MATCH,No clear pattern match found,
14-17927-000,FREIGHTLINER,"FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering oil filter,1.0
142110,CROWN,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
142115,CROWN,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
144925,CROWN,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
15102546,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
15208-65FOE,NISSAN,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
152128,CROWN,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
153555,CROWN,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
15400-PLM-A02,HONDA MTR AMERICA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
15601-76004-71,TOYOTA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
15601-76008-71,TOYOTA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
15613-EV140,HINO MOTORS LTD.,"FILTER, CRANKCASE, VENTILATION",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
15942429,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
15950,NAPA,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
15966,NAPA,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
15P,PARKER-HANNIFIN,"FILTER, ASSY, HIGH PRESSURE",,,,NO_MATCH,"Generic high pressure filter, needs more specificity",
1655115PE,"PACCAR, INC.","FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
1707194,HYSTER CO.,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
1718534PE,"PACCAR, INC.","FILTER, OIL, ENGINE, KIT",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Engine oil filter, full flow",1.0
1756,NAPA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
17587,NAPA,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
1780178100,HINO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
1817849C3,NAVISTAR,"GASKET, HOUSING, FILTER, OIL",,,,NO_MATCH,No clear pattern match found,
18566,NAPA,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
19259309,GENERAL MOTORS CORP,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
19433934,GENERAL MOTORS CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
1R-0716,CATERPILLAR TRACTOR,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
1R-0749,CATERPILLAR TRACTOR,"FILTER, FUEL, SECONDARY",044-002-003,"Filter Assembly - Fuel, Secondary",44.0,HIGH,Secondary fuel filter,1.0
1R-0750,CATERPILLAR TRACTOR,"FILTER, FUEL, SECONDARY",044-002-003,"Filter Assembly - Fuel, Secondary",44.0,HIGH,Secondary fuel filter,1.0
1R-1808,CATERPILLAR TRACTOR,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
200095,NAPA,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
200337,NAPA,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
200697,NAPA,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
20580233,VOLVO,"FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
21715813,VOLVO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
22759203,GENERAL MOTORS CORP,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
2277129PE,"PACCAR, INC.","FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
22845992,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
22909882,GENERAL MOTORS CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
2299013PE,"PACCAR, INC.","FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
23044511,VOLVO,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
23300-UB010,TOYOTA,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
2330478380,HINO,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
23304EV360,HINO,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
23381562,VOLVO,"FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
23521528,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
24009059,VOLVO,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
24137737,VOLVO,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
24210956,GENERAL MOTORS CORP,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
24211,WIX CORP,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
24236517,GENERAL MOTORS CORP,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
24236931,GENERAL MOTORS CORP,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
24283117,VOLVO,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
24419,WIX CORP,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
2510993C2,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
2515573C1,NAVISTAR,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
2517298C1,NAVISTAR,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
2517315C91,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
2517331C91,NAVISTAR,"MODULE, PARTICULATE FILTER",,,,NO_MATCH,"No pattern match for: MODULE, PARTICULATE FILTER",
2518086C1,NAVISTAR,"FILTER, SCREEN, DEF SENSOR",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
2522414C91,NAVISTAR,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
2522821C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
2522822C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
2522824C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
2523522C91,NAVISTAR,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
2523635C91,NAVISTAR,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
2523636C91,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
25-26170-00,CARRIER CORP,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
25-38666-16,CARRIER CORP,"FILTER, FUEL, BRASS SCREEN",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
2602211C1,NAVISTAR,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
2604318C91,NAVISTAR,"FILTER, FUEL, KIT",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
2606467C92,NAVISTAR,"FILTER, OIL, CENTRIFUGE KIT",,,,NO_MATCH,"No pattern match for: FILTER, OIL, CENTRIFUGE KIT",
26-1689,AUTOCAR,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
270-180-01-09,MERCEDES-BENZ OF NA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
28181-2,AUTOCAR,"FILTER, DEF, KIT",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,DEF filter,1.0
283102-01,MAXON,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
290034,MAXON,"FILTER, PUMP, INLET",,,,NO_MATCH,"No pattern match for: FILTER, PUMP, INLET",
29539579,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
29542824,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
29558293,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
29558328,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
29558329,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
29558331,ALLISON TRANSMISSION,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
297569,MAXON,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
297573,MAXON,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
2I8660,MITSUBISHI,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
2L2Z-9155-AB,FORD MOTOR CO,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
2L2Z-9601-AC,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
30-00323-00,CARRIER CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
30-00430-23,CARRIER CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
30-00450-00,CARRIER CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
30-00463-00,CARRIER CORP,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
30-00471-20,CARRIER CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
30-01077-01,CARRIER CORP,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
30-01090-04,CARRIER CORP,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
30-01090-05,CARRIER CORP,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
3004473C93,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
30-50373-00SV,CARRIER CORP,"FILTER, KIT, ENGINE, PM",047-001-000,Kit Filter - Engine,47.0,MEDIUM,Engine filter kit,1.0
30-50374-00SV,CARRIER CORP,"FILTER, KIT, ENGINE, PM",047-001-000,Kit Filter - Engine,47.0,MEDIUM,Engine filter kit,1.0
30A4000103,MITSUBISHI,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
31103-00,MERITOR N.A.,"FILTER, INLINE, TIRE INFLATION",,,,NO_MATCH,"No pattern match for: FILTER, INLINE, TIRE INFLATION",
32670-12620-71,TOYOTA,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
3321143,POWERBOSS,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
3322572,POWERBOSS,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
3336584,POWERBOSS,"FILTER, FUEL, LPG",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
3342201,POWERBOSS,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
3344840,POWERBOSS,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
33837,MICROGARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
34724,ROBINAIR DIVISION,"FILTER, REFRIGERANT, DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
3604,NAPA,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
3670134C1,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",082-010-001,Filter - Drier,82.0,HIGH,Filter drier,1.0
3672,MICROGARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
369746,TENNANT,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
371972,TENNANT,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
3839141C1,NAVISTAR,"FILTER, CABIN, AIR",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
3839326C1,NAVISTAR,"FILTER, AIR, CABIN, RECIRC",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
386326,TENNANT,"FILTER, DUST, FAN, VACUUM",,,,NO_MATCH,"No pattern match for: FILTER, DUST, FAN, VACUUM",
3905161S,FLEETGUARD,"GAUGE, RESTRICTION, FILTER",,,,NO_MATCH,"No pattern match for: GAUGE, RESTRICTION, FILTER",
3937557S,FLEETGUARD,"FILTER, OIL, POWER STEERING",015-005-046,Filter - Oil Pump Steering,15.0,HIGH,Power steering filter,1.0
393982,TENNANT,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
398279,TENNANT,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
3C3Z-6731-AA,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
3C3Z-9N184-CB,FORD MOTOR CO,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
4000258,HYSTER CO.,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
